n	subject	id	task	num	answer	flags	question_short
1	fe	712	albazzz	332	D	domain_shell|vai_tro_stub	Which statement correctly describes the advantage of an interpreter compared with a compiler?
2	fe	713	albazzz	453	A	domain_shell|vai_tro_stub|khop_dap_an	Thrashing?
3	fe	714	albazzz	561	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Product life cycle stages?
4	fe	715	albazzz	564	C	domain_shell|vai_tro_stub|khop_dap_an	SLA is?
5	fe	716	albazzz	565	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Incident vs Problem?
6	fe	717	albazzz	566	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Service desk is?
7	fe	718	albazzz	568	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Waterfall model?
8	fe	719	albazzz	571	A	domain_shell|vai_tro_stub|khop_dap_an	Black-box testing?
9	fe	720	albazzz	572	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	White-box testing?
10	fe	721	albazzz	586	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	SaaS means?
11	fe	722	albazzz	590	C	domain_shell|vai_tro_stub|khop_dap_an	Benchmarking?
12	fe	723	albazzz	609	B	domain_shell|vai_tro_stub|khop_dap_an	Stakeholder is?
13	fe	724	albazzz	613	A	domain_shell|vai_tro_stub	Crashing a schedule?
14	fe	725	albazzz	616	D	domain_shell|vai_tro_stub|khop_dap_an	CMDB?
15	fe	726	albazzz	683	D	domain_shell|vai_tro_stub	ARP resolves?
16	fe	368	datajfe	1	D	domain_shell|vai_tro_stub|khop_dap_an	A LAN access method circulates control information in a fixed direction. A station may transmit only after receiving thi
17	fe	369	datajfe	2	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	An organization wants to exchange product model data using an international standard specifically intended for product m
18	fe	371	datajfe	4	D	domain_shell|vai_tro_stub	A project manager shortens an activity that is not currently on the critical path. After the change, the project complet
19	fe	372	datajfe	5	D	domain_shell|vai_tro_stub|khop_dap_an	An attacker secretly intercepts data traveling across a network and steals information without necessarily modifying the
20	fe	373	datajfe	6	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	A software organization wants an international standard that structures lifecycle processes for acquisition, supply, dev
