n	subject	id	task	num	answer	flags	question_short
1	jit	293	fuexam	6	A	khop_dap_an	データベースの表現法には「データを親、子、孫のような階層構造に並べ、最上位の親からたどることによって検索する表現法です。」とかいてあるものはどんな表現ですか。
2	jit	294	fuexam	13	A	domain_shell|vai_tro_stub	【専門用語】次のベトナム語の用語をベトナム語に直しなさい。 分散処理システム
3	jit	295	fuexam	41	A	khop_dap_an	ロングテールの考え方を活用したインターネットにおけるビジネスの説明として、適切なものはどれか
4	jit	296	fuexam	42	A	khop_dap_an	日本語でのコードについて正しくないものをえらんでください。
5	jit	297	fuexam	43	A	khop_dap_an	コンピューターが逢(あ)える事故は何ですか。
6	jit	299	fuexam	45	A	khop_dap_an	OSの機能は何ですか。
7	jit	301	fuexam	47	A	khop_dap_an	「取引プロセスとは、( ) 以外にも商品案内や配送などの処理、さらには商品開発まで含めます。」
8	jit	302	fuexam	48	A	khop_dap_an	メール利用の注意について正しくないものはどれですか。
9	jit	303	fuexam	49	A	khop_dap_an	映画では1秒に何回の書き換えを行っていますか。
10	jit	304	fuexam	50	A	khop_dap_an	「射影の結果を並べ替えるには ( ) という単語を使います。」
11	jit	306	fuexam	52	A	khop_dap_an	「小さいものから順に または逆に大きいものから順にデータを並べ替えること」は何を指しますか。
12	jit	307	fuexam	53	A	khop_dap_an	クッキー(cookie)に関する記述a~cのうち、適切なものだけをすべて挙げたものはどれか。
13	jit	309	fuexam	55	A	khop_dap_an	フォルダとは何ですか
14	jit	310	fuexam	56	A	khop_dap_an	「電子機器には、コンピュータ、携帯電話、( ) を始めとして、ポータブルオーディオやゲーム機などの家電製品など多くのものがあり、ネットワークは成長し続けています。」
15	jit	312	fuexam	58	A	khop_dap_an	出力用ハードウェアは何ですか。
16	jit	313	fuexam	59	A	khop_dap_an	新たなプログラムを作成するときに、効率的な内部処理とともに考慮しなければならない重要な要素は何ですか。
17	jit	314	fuexam	60	A	khop_dap_an	動画像情報圧縮では、何がよく用いられますか。
18	jit	184	pt	1	B	khop_dap_an	動画像では、1つ前の画像との違っている部分だけを記録して圧縮率を高める方法を何と言いますか。
19	jit	185	pt	2	A	khop_dap_an	「#」の記号はどのように読みますか。
20	jit	186	pt	3	B	domain_shell|vai_tro_stub|khop_dap_an	JISコードは、日本工業規格 JIS が定めたもので、（  ）bitの数字を（  ）桁ずつ区切って表します。
21	jit	187	pt	4	A	khop_dap_an	パリティビットには、どのような種類がありますか。
22	jit	189	pt	6	A	domain_shell|vai_tro_stub|khop_dap_an	2進数10011と2進数101を乗算した結果の2進数はどれか。
23	jit	190	pt	7	B	khop_dap_an	CDでは、傷や手の脂、埃などによってデータが正しく読み取れない場合があります。このような誤りを検出・訂正するための仕組みを何と言いますか。
24	jit	191	pt	8	B	khop_dap_an	通信回線の伝送誤りに対処するパリティチェック方式（垂直パリティ）の記述として、適切なものはどれか。
25	jit	192	pt	9	A	khop_dap_an	「giai thừa」は日本語の漢字でどのように読みますか。
26	jit	193	pt	10	D	khop_dap_an	「論理和」は何ですか。
27	jit	196	pt	13	A	khop_dap_an	改行が何番のコードにあたるかなど、画面に直接表示できない記号は何と呼ばれますか。
28	jit	197	pt	14	D	domain_shell|vai_tro_stub|khop_dap_an	世界の主要な言語で使われている文字を統一的に表す文字コードはどれか。
29	jit	198	pt	15	C	khop_dap_an	マウスやキーボードの操作方法、ウィンドウの見え方などを決めるものを何と言いますか。
30	jit	201	pt	18	A	domain_shell|vai_tro_stub|khop_dap_an	「変調」は英語で何ですか。
31	jit	202	pt	19	C	domain_shell|vai_tro_stub|khop_dap_an	映像データや音声データの圧縮方式として代表的なものはどれか。
32	jit	203	pt	20	B	khop_dap_an	ネットワークの形態について、中心に集線装置を置き複数のコンピュータを接続する形態はどれか。
33	jit	205	pt	22	C	khop_dap_an	一般に100 Kbps〜1 Mbps以上の通信速度を何と言いますか。
34	jit	206	pt	23	B	domain_shell|vai_tro_stub|khop_dap_an	プリンタの解像度をドット数で表す単位は何といいますか。
35	jit	207	pt	24	C	khop_dap_an	情報量の（  ）単位のことをビット(bit)といいます。
36	jit	208	pt	25	C	domain_shell|vai_tro_stub|khop_dap_an	A〜Zの26種類の文字を表現するには最低何ビット必要か。
