n	subject	id	task	num	answer	flags	question_short
1	fe	463	books	55	B	domain_shell|vai_tro_stub|khop_dap_an	Which of the following is a role of the program counter (program register) of the CPU?
2	fe	464	books	56	A	domain_shell|vai_tro_stub|khop_dap_an	Which memory type is typically the fastest for the CPU to access?
3	fe	465	books	57	C	domain_shell|vai_tro_stub|khop_dap_an	In RAID with parity, which operation is commonly used to reconstruct lost data?
4	fe	466	books	58	B	domain_shell|vai_tro_stub	What does MTBF stand for in reliability discussions?
5	fe	467	books	59	A	khop_dap_an	Availability of a single device is commonly approximated by which formula?
6	fe	468	books	60	C	domain_shell|vai_tro_stub|khop_dap_an	Two identical devices each have availability 0.9. What is the availability if connected in series?
7	fe	469	books	61	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Which combination of inks is typical for full-color printing (CMYK)?
8	fe	470	books	62	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	An arithmetic right shift of a negative number in 2's complement representation:
9	fe	471	books	63	B	domain_shell|vai_tro_stub|khop_dap_an	Which statement about IC cards vs magnetic cards is appropriate?
10	fe	472	books	64	C	domain_shell|vai_tro_stub|khop_dap_an	Spooling primarily improves system efficiency by:
11	fe	473	books	65	B	domain_shell|vai_tro_stub|khop_dap_an	Which of the following best describes multiprogramming?
12	fe	474	books	66	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	A system with two devices in parallel fails only if both fail. Compared with series connection, parallel generally:
13	fe	475	books	67	C	domain_shell|vai_tro_stub|khop_dap_an	Which is an appropriate purpose of a system performance indicator such as throughput?
14	fe	476	books	68	B	domain_shell|vai_tro_stub|khop_dap_an	Client/server architecture typically separates:
15	fe	477	books	69	A	domain_shell|vai_tro_stub|khop_dap_an	Which is a primary role of an operating system?
16	fe	478	books	70	B	domain_shell|vai_tro_stub|khop_dap_an	Middleware is best described as:
17	fe	479	books	71	C	domain_shell|vai_tro_stub	Open source software generally means:
18	fe	480	books	72	A	domain_shell|vai_tro_stub	A compiler typically:
19	fe	482	books	74	A	khop_dap_an	Why is exclusive control (locking) needed in a DBMS?
