n	subject	id	task	num	answer	flags	question_short
1	fe	68	bank300	1	C	domain_shell|vai_tro_stub|khop_dap_an	How many bits are in one byte?
2	fe	69	bank300	2	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	What is the smallest unit of data in a computer?
3	fe	70	bank300	3	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Which generation introduced VLSI?
4	fe	71	bank300	4	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	First-generation logic device?
5	fe	72	bank300	5	B	domain_shell|vai_tro_stub|khop_dap_an	Non-volatile storage example?
6	fe	73	bank300	6	A	domain_shell|vai_tro_stub|khop_dap_an	Which memory loses data when power is off?
7	fe	74	bank300	7	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Main memory is typically which type?
8	fe	75	bank300	8	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Cache is usually implemented with?
9	fe	76	bank300	9	C	domain_shell|vai_tro_stub|khop_dap_an	Hexadecimal digit A in decimal?
10	fe	77	bank300	10	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Number system using digits 0-7?
11	fe	78	bank300	11	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	8-bit two's complement 11101010 equals?
12	fe	79	bank300	12	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Two's complement of negative: method?
13	fe	80	bank300	13	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Range of n-bit 2's complement?
14	fe	81	bank300	14	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	International multilingual character code?
15	fe	82	bank300	15	D	domain_shell|vai_tro_stub|khop_dap_an	CPU = which units?
16	fe	83	bank300	16	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Which is a peripheral device?
17	fe	84	bank300	17	B	domain_shell|vai_tro_stub|khop_dap_an	Register is inside CPU: peripheral?
18	fe	85	bank300	18	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Auxiliary storage characteristic?
19	fe	86	bank300	19	D	domain_shell|vai_tro_stub	Advantage of semiconductor memory vs magnetic disk?
20	fe	87	bank300	20	A	domain_shell|vai_tro_stub	Access time of disk includes?
21	fe	88	bank300	21	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	RAID 1 main feature?
22	fe	89	bank300	22	C	domain_shell|vai_tro_stub|khop_dap_an	RAID 0 main feature?
23	fe	90	bank300	23	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Instruction cycle order?
24	fe	91	bank300	24	A	domain_shell|vai_tro_stub|khop_dap_an	PC register holds?
25	fe	92	bank300	25	B	domain_shell|vai_tro_stub|khop_dap_an	Pipeline hazard types?
26	fe	93	bank300	26	A	domain_shell|vai_tro_stub|khop_dap_an	DMA purpose?
27	fe	94	bank300	27	D	domain_shell|vai_tro_stub|khop_dap_an	1 KB in traditional binary memory?
28	fe	95	bank300	28	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Information amount with n bits?
29	fe	96	bank300	29	B	domain_shell|vai_tro_stub|khop_dap_an	BCD means?
30	fe	97	bank300	30	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	FPGA characteristic?
31	fe	98	bank300	31	D	domain_shell|vai_tro_stub|khop_dap_an	Jobs executed collectively without user interaction?
32	fe	99	bank300	32	A	domain_shell|vai_tro_stub|khop_dap_an	Payroll once a month best system?
33	fe	100	bank300	33	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Airline reservation immediate response?
34	fe	101	bank300	34	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Hard real-time example idea?
35	fe	102	bank300	35	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	All processing on one central computer?
36	fe	103	bank300	36	A	domain_shell|vai_tro_stub|khop_dap_an	Reliability series R=0.95 and 0.90?
37	fe	104	bank300	37	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Parallel reliability formula idea?
38	fe	105	bank300	38	A	domain_shell|vai_tro_stub|khop_dap_an	Availability formula?
39	fe	106	bank300	39	D	domain_shell|vai_tro_stub|khop_dap_an	What is response time?
40	fe	107	bank300	40	C	domain_shell|vai_tro_stub|khop_dap_an	What is throughput?
41	fe	108	bank300	41	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	ACID: A means?
42	fe	109	bank300	42	A	domain_shell|vai_tro_stub|khop_dap_an	Purpose of interface design?
43	fe	110	bank300	43	D	domain_shell|vai_tro_stub|khop_dap_an	Why user-friendly UI?
44	fe	111	bank300	44	A	domain_shell|vai_tro_stub|khop_dap_an	Purpose of human interface technology?
45	fe	112	bank300	45	B	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Video multimedia means?
46	fe	113	bank300	46	A	domain_shell|vai_tro_stub|khop_dap_an	Fail-safe means?
47	fe	114	bank300	47	D	khop_dap_an	Hot standby means?
48	fe	115	bank300	48	C	domain_shell|vai_tro_stub|khop_dap_an	Intermediary between apps and OS?
49	fe	116	bank300	49	B	domain_shell|vai_tro_stub	Compiler translates how?
50	fe	117	bank300	50	A	domain_shell|vai_tro_stub	Interpreter advantage vs compiler?
51	fe	118	bank300	51	D	domain_shell|vai_tro_stub|khop_dap_an	Language closest to machine with mnemonics?
52	fe	119	bank300	52	A	can_doi_chieu|so_ban_chat|khop_dap_an	Assembler does what?
53	fe	120	bank300	53	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub	Combines object modules into executable?
54	fe	121	bank300	54	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Loads program into memory?
55	fe	122	bank300	55	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Software in ROM after power off?
56	fe	123	bank300	56	A	domain_shell|vai_tro_stub|khop_dap_an	Allow view/modify/redistribute source?
57	fe	124	bank300	57	B	domain_shell|vai_tro_stub|khop_dap_an	Free use without fee legally for OSS category?
58	fe	125	bank300	58	A	domain_shell|vai_tro_stub|khop_dap_an	OS function deciding CPU time for process?
59	fe	128	bank300	61	C	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Scheduling that may starve long jobs?
60	fe	129	bank300	62	A	domain_shell|vai_tro_stub|khop_dap_an	Round Robin reduces?
61	fe	130	bank300	63	D	domain_shell|vai_tro_stub|khop_dap_an	Coffman conditions count?
