subject,id,task,num,severity,flags,question
fe,2,test,2,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","A software development team wants to distribute software while allowing users to view, modify, and redistribute the source code."
fe,3,test,3,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is the main purpose of interface design?"
fe,4,test,4,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","How many bits are contained in one byte?"
fe,5,test,5,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","A compiler translates a source program containing 20,000 lines of code. Which statement best describes the compilation process?"
fe,6,test,6,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is a non-volatile storage device?"
fe,7,test,7,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which SQL command removes a table definition and its data?"
fe,8,test,8,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which OS management function is primarily responsible for deciding which process receives CPU time?"
fe,9,test,9,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is classified as a peripheral device?"
fe,10,test,10,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which generation of computers introduced VLSI technology?"
fe,11,test,11,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Why is user-friendly interface design important?"
fe,12,test,12,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following devices was mainly used as the logic gate in first-generation computers?"
fe,13,test,13,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which type of software acts as an intermediary between application software and the operating system?"
fe,14,test,14,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which statement correctly describes the advantage of an interpreter compared with a compiler?"
fe,15,test,15,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which type of processing system executes jobs collectively without user interaction?"
fe,16,test,16,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Two modules have reliabilities 0.95 and 0.90 in a series system. What is the system reliability?"
fe,17,test,17,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which programming language is closest to machine language and uses mnemonic instructions?"
fe,18,test,18,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is the smallest unit of data representation in computers?"
fe,19,test,19,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is the characteristic of auxiliary storage?"
fe,20,test,20,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following character codes is internationally standardized for multilingual text representation?"
fe,21,test,21,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which Coffman condition can be eliminated to prevent deadlock?"
fe,22,test,22,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following software is typically stored in ROM and remains available even when power is turned off?"
fe,23,test,23,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is performed in the Plan phase of a PDCA model that is applied to any ISMS process?"
fe,24,test,24,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","When a file of 10^6 bytes is transmitted by using a 64 kbps line, approximately how long (in seconds) does it take to transfer the file?"
fe,25,test,25,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which scheduling algorithm may cause starvation?"
fe,26,test,26,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate description of cryptography?"
fe,27,test,27,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","An 8-bit two's complement value is 11101010. What is its decimal value?"
fe,28,test,28,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which of the following is an objective of a software developer in attaching a digital signature to software when software is released on the Internet?"
fe,29,test,29,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Thuật toán nào thuộc nhóm Divide and Conquer?"
fe,30,test,30,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub","Which of the following is biometric authentication that uses information which can be obtained from the human eye?"
fe,31,test,31,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","A company wants software that can be legally copied and used without purchasing a license fee. Which category is most appropriate?"
fe,32,test,32,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate description of JPCERT/CC?"
fe,33,test,33,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is availability in system reliability evaluation?"
fe,34,test,34,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub","Which component combines multiple object modules into a single executable program?"
fe,35,test,35,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate description of WPA? (Từ cuối hơi mờ, dựa vào đáp án có thể là WPA hoặc WAF)"
fe,36,test,36,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which SQL correctly returns the second-highest salary for each department?"
fe,37,test,37,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Cấu trúc dữ liệu nào hoạt động theo nguyên tắc FIFO?"
fe,38,test,38,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which processing system is most appropriate for payroll calculations performed once a month?"
fe,39,test,39,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which of the following is an effect of e-mail encryption?"
fe,40,test,40,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which of the following is an appropriate description of risk assessment?"
fe,41,test,41,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which type of processing system is suitable for airline reservation systems requiring immediate responses?"
