n	subject	id	task	num	answer	flags	question_short
1	mln	2	all	2	C	domain_shell|vai_tro_stub	Nghiên cứu về cách mạng công nghiệp lần thứ nhất, C. Mác đã khái quát tính quy luật của cách mạng công nghiệp qua mấy gi
2	mln	5	all	5	A	domain_shell|vai_tro_stub	Đâu không phải đặc trưng của chủ nghĩa tư bản?
3	mln	6	all	6	C	khop_dap_an	Khi nghiên cứu tái sản xuất tư bản xã hội thì K. Marx chia nền kinh tế ra làm hai khu vực là
4	mln	7	all	7	A	can_doi_chieu|so_ban_chat|khop_dap_an	Địa tô chênh lệch II thu được trên
5	mln	8	all	8	C	khop_dap_an	Nội dung công cuộc đại phân công lao động xã hội lần thứ nhất là
6	mln	9	all	9	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Chênh lệch Địa tô chính I thu được trên
7	mln	11	all	11	B	khop_dap_an	Nội dung công cuộc đại phân công lao động xã hội lần thứ ba là:
8	mln	12	all	12	A	domain_shell|vai_tro_stub|khop_dap_an	Kinh tế thị trường đã hình thành trong xã hội nào?
9	mln	13	all	13	B	khop_dap_an	Các tổ chức độc quyền sử dụng giá cả độc quyền để
10	mln	14	all	14	A	khop_dap_an	Cơ chế kinh tế của độc quyền nhà nước trong chủ nghĩa tư bản gồm:
11	mln	15	all	15	D	domain_shell|vai_tro_stub	Trong lịch sử phát triển nền sản xuất xã hội, tiền đề nào là quan trọng cho sự ra đời và phát triển của nền kinh tế thị 
12	mln	16	all	16	A	khop_dap_an	Vì sao trong chủ nghĩa tư bản độc quyền cạnh tranh không bị thủ tiêu?
13	mln	18	all	18	D	khop_dap_an	Cách mạng công nghiệp lần thứ hai diễn ra trong thời gian nào?
14	mln	19	all	19	A	khop_dap_an	Những đóng góp to lớn của kinh tế chính trị cổ điển Anh vào lý luận kinh tế chính trị của nhân loại đó là
15	mln	20	all	20	B	khop_dap_an	Công nghiệp hoá, hiện đại hoá đất nước phải bảo đảm
16	mln	21	all	21	A	domain_shell|vai_tro_stub|khop_dap_an	Việt Nam gia nhập tổ chức ASEAN trong khu vực khi nào?
17	mln	22	all	22	B	domain_shell|vai_tro_stub|khop_dap_an	Để thực hiện hoàn thiện thể chế kinh tế thị trường định hướng xã hội chủ nghĩa ở Việt Nam cần hoàn thành mấy nhiệm vụ ch
18	mln	23	all	23	A	domain_shell|vai_tro_stub	Quá trình công nghiệp hóa của các nước tư bản cổ điển diễn ra trong thời gian khoảng bao nhiêu năm?
19	mln	25	all	25	D	khop_dap_an	Độc quyền nhà nước trong chủ nghĩa tư bản, sở hữu nhà nước thực hiện chức năng nào?
20	mln	26	all	26	A	khop_dap_an	Mệnh đề nào sau đây là ý không đúng về lao động phức tạp?
21	mln	27	all	27	A	domain_shell|vai_tro_stub	Ai là người đề xuất ra ba loại thương nghiệp (trao đổi tự nhiên, trao đổi tiền tệ, trao đổi thông qua mục đích làm giàu)
22	mln	28	all	28	B	khop_dap_an	Kinh tế thị trường được hiểu là
23	mln	29	all	29	B	khop_dap_an	Về vị trí lịch sử, kinh tế thị trường có đặc điểm gì?
24	mln	30	all	30	A	khop_dap_an	Điều kiện để ra đời và tồn tại của sản xuất hàng hóa là
25	mln	31	all	31	A	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Con đường công nghiệp hóa của Liên Xô thường ưu tiên lĩnh vực nào?
26	mln	32	all	32	C	khop_dap_an	Sự tách biệt về mặt kinh tế giữa các chủ thể sản xuất xuất hiện dựa trên cơ sở nào?
27	mln	33	all	33	B	khop_dap_an	V - Tư bản khả biến là:
28	mln	34	all	34	A	khop_dap_an	Bản chất khủng hoảng thửa trong nền kinh tế là.
29	mln	35	all	35	B	domain_shell|vai_tro_stub|khop_dap_an	Có mấy nguyên nhân chính dẫn đến sự hình thành độc quyền nhà nước trong chủ nghĩa tư bản?
30	mln	36	all	36	A	khop_dap_an	(1. Tích tụ và tập trung tư bản 2. Phân công lao động xã hội 3. Mâu thuẫn giai cấp 4. Xu hướng quốc tế hóa và cạnh tranh
31	mln	39	all	39	A	domain_shell|vai_tro_stub	Nội dung về kinh tế chính trị của C. Mác và Ph. Ăngghen được trình bày nhiều nhất trong tác phẩm nào?
32	mln	40	all	40	B	domain_shell|vai_tro_stub|khop_dap_an	Sản xuất hàng hóa ra đời dựa trên
33	mln	41	all	41	A	khop_dap_an	Cách mạng công nghiệp lần thứ tư sẽ làm mất đi lợi thế của các nước đang phát triển về
34	mln	42	all	42	D	khop_dap_an	Đại hội nào đã xác định kinh tế thị trường định hướng xã hội chủ nghĩa là "một kiểu tổ chức kinh tế vừa tuân theo quy lu
35	mln	43	all	43	ABC	khop_dap_an	Lý thuyết bàn tay vô hình của Adam Smith được hiểu là: (chọn 3 phương án đúng)
36	mln	44	all	44	D	khop_dap_an	Chọn ý đúng về tăng cường độ lao động. Khi cường độ lao động tăng lên thì
37	mln	45	all	45	A	khop_dap_an	Trên giác độ kinh tế chính trị, lao động trừu tượng là
38	mln	46	all	46	C	domain_shell|khop_dap_an	Xét về bản chất, thì lợi ích kinh tế được hiểu là:
39	mln	47	all	47	C	domain_shell|khop_dap_an	Xét về bản chất, lợi ích kinh tế được hiều như thế nào?
40	mln	48	all	48	C	khop_dap_an	Cách mạng công nghiệp lần thứ nhất diễn ra trong thời gian nào?
41	mln	49	all	49	C	khop_dap_an	Yếu tố nào quyết định đến sự hình thành của cách mạng công nghiệp.
42	mln	50	all	50	D	domain_shell|vai_tro_stub|khop_dap_an	Nguồn vốn để công nghiệp hóa ở các nước tư bản cổ điển lấy từ đâu?
43	mln	51	all	51	D	domain_shell|can_doi_chieu|so_ban_chat|vai_tro_stub|khop_dap_an	Nguồn gốc nào không đúng với nguồn vốn công nghiệp hóa ở các nước tư bàn cổ điển?
44	mln	52	all	52	A	khop_dap_an	Sức lao động trở thành hàng hoá một cách phổ biến từ khi nào?
45	mln	53	all	53	A	domain_shell|vai_tro_stub|khop_dap_an	Khi lạm phát phi mã xảy ra, hình thức sử dụng tiền nào có lợi nhất?
46	mln	54	all	54	A	domain_shell|vai_tro_stub|khop_dap_an	Sự tuần hoàn của tư bản, nếu xét nó với tư cách là một quá trình định kỳ đổi mới và thường xuyên lặp đi lặp lại được gọi
47	mln	55	all	55	A	domain_shell|vai_tro_stub	Phương pháp nghiên cứu kinh tế chính trị Mác - Lênin phù hợp nhất đó là:
